City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Cabo San Lucas,22.8909,-109.9124,82.99,32,1,6.91,MX,2021-04-17 19:48:06
68,San-Pedro,4.7485,-6.6363,78.3,85,100,4.68,CI,2021-04-17 19:47:17
69,Port-Cartier,50.0334,-66.8654,39.2,60,75,14.97,CA,2021-04-17 19:48:07
70,Chuy,-33.6971,-53.4616,69.48,75,2,7.25,UY,2021-04-17 19:48:07
71,Ternate,0.8,127.4,80.42,81,95,7.47,ID,2021-04-17 19:48:07
72,Sitka,57.0531,-135.33,48.2,66,40,1.97,US,2021-04-17 19:48:08
73,Hamilton,39.1834,-84.5333,55.0,71,90,12.66,US,2021-04-17 19:48:08
74,Nikolskoye,59.7035,30.7861,48.2,34,0,8.95,RU,2021-04-17 19:48:09
75,Sao Joao Da Barra,-21.6403,-41.0511,78.8,73,40,13.8,BR,2021-04-17 19:48:09
76,Bambous Virieux,-20.3428,57.7575,78.01,94,75,5.03,MU,2021-04-17 19:48:09
77,Khandyga,62.6667,135.6,23.22,90,100,6.87,RU,2021-04-17 19:48:10
78,Iqaluit,63.7506,-68.5145,19.4,58,40,5.75,CA,2021-04-17 19:48:10
79,Talnakh,69.4865,88.3972,-22.59,95,71,2.77,RU,2021-04-17 19:48:11
80,Yellowknife,62.456,-114.3525,36.0,60,75,2.3,CA,2021-04-17 19:45:09
81,Severo-Kurilsk,50.6789,156.125,36.5,71,100,5.57,RU,2021-04-17 19:48:11
82,Tasiilaq,65.6145,-37.6368,26.6,86,75,3.58,GL,2021-04-17 19:47:33
83,Mar Del Plata,-38.0023,-57.5575,69.8,83,0,11.5,AR,2021-04-17 19:47:38
84,Labrea,-7.2586,-64.7981,80.2,91,100,0.74,BR,2021-04-17 19:48:12
85,Hithadhoo,-0.6,73.0833,82.27,62,9,5.97,MV,2021-04-17 19:48:13
86,Lapua,62.9693,23.0088,43.0,68,10,3.65,FI,2021-04-17 19:48:13
87,Monrovia,6.3005,-10.7969,80.6,83,75,4.32,LR,2021-04-17 19:48:13
88,Bristol,41.8334,-71.1662,48.99,66,90,3.44,US,2021-04-17 19:48:14
89,Kenai,60.5544,-151.2583,44.6,56,1,8.05,US,2021-04-17 19:45:49
90,Sao Sebastiao Do Paraiso,-20.9169,-46.9914,71.92,55,100,2.21,BR,2021-04-17 19:48:14
91,Saint-Philippe,-21.3585,55.7679,75.2,88,90,13.8,RE,2021-04-17 19:48:15
92,Kodiak,57.79,-152.4072,42.8,75,90,5.75,US,2021-04-17 19:47:51
93,Pierre,44.3683,-100.351,54.0,43,75,14.97,US,2021-04-17 19:48:15
94,Codrington,-38.2667,141.9667,51.51,93,53,7.23,AU,2021-04-17 19:48:16
95,Shitanjing,39.2342,106.3439,45.37,25,0,5.48,CN,2021-04-17 19:48:16
96,Richards Bay,-28.783,32.0377,61.86,74,1,7.63,ZA,2021-04-17 19:48:17
97,Tevaitoa,-16.7833,-151.5,81.9,74,98,9.95,PF,2021-04-17 19:48:17
98,Meulaboh,4.1363,96.1285,76.98,86,90,3.42,ID,2021-04-17 19:48:18
99,Mareeba,-17.0,145.4333,78.8,73,75,6.91,AU,2021-04-17 19:48:18
100,Witu,-2.3889,40.4382,82.4,83,20,9.22,KE,2021-04-17 19:48:19
101,Louis Trichardt,-23.0439,29.9032,52.2,81,0,4.61,ZA,2021-04-17 19:48:19
102,Quatre Cocos,-20.2078,57.7625,78.01,94,75,5.73,MU,2021-04-17 19:48:19
103,San Matias,-16.3667,-58.4,87.24,56,100,2.73,BO,2021-04-17 19:48:20
104,Crotone,39.0851,17.1178,50.0,71,0,6.91,IT,2021-04-17 19:48:20
105,Gorodishche,48.8045,44.4744,46.4,87,0,4.47,RU,2021-04-17 19:43:26
106,Luderitz,-26.6481,15.1594,77.11,38,30,1.16,NA,2021-04-17 19:47:54
107,Derzhavinsk,51.1,66.3167,48.38,79,38,7.07,KZ,2021-04-17 19:48:21
108,Bubaque,11.2833,-15.8333,77.16,74,100,16.37,GW,2021-04-17 19:48:22
109,Ordzhonikidze,52.4411,61.7408,51.51,72,7,4.36,KZ,2021-04-17 19:48:22
110,Sorong,-0.8833,131.25,78.55,84,94,7.27,ID,2021-04-17 19:47:11
111,Ballina,-28.8667,153.5667,59.0,82,75,10.36,AU,2021-04-17 19:48:23
112,Kardla,58.9978,22.7492,42.06,68,84,11.39,EE,2021-04-17 19:48:23
113,Kankaanpaa,61.8,22.4167,51.8,30,0,3.44,FI,2021-04-17 19:48:24
114,Fuling,29.7022,107.3919,59.67,91,100,1.79,CN,2021-04-17 19:48:24
115,Okhotsk,59.3833,143.3,23.77,96,100,6.93,RU,2021-04-17 19:48:24
116,Alvaraes,-3.2208,-64.8042,87.8,70,40,6.91,BR,2021-04-17 19:48:25
117,Marawi,7.9986,124.2928,75.99,91,100,5.01,PH,2021-04-17 19:48:25
118,Puerto Ayora,-0.7393,-90.3518,80.01,94,90,13.8,EC,2021-04-17 19:48:26
119,Tarut,26.5733,50.0369,78.8,18,0,6.91,SA,2021-04-17 19:48:26
120,Rogers,36.3668,-95.5836,53.01,57,90,6.91,US,2021-04-17 19:48:27
121,Venado Tuerto,-33.7456,-61.9688,84.0,99,53,5.99,AR,2021-04-17 19:48:27
