City_ID,City,Country,Current Description,Max Temp,Lat,Lng,Hotel Name
281,Veraval,IN,overcast clouds,87.12,20.9,70.3667,Lords Inn Somnath
283,Marzuq,YE,scattered clouds,85.05,14.4,46.4667,
290,Carutapera,BR,overcast clouds,75.06,-1.195,-46.02,Lidera
307,Bathsheba,BB,scattered clouds,78.8,13.2167,-59.5167,Atlantis Hotel
309,Kahului,US,few clouds,75.2,20.8947,-156.47,Maui Seaside Hotel
310,Teshie,GH,clear sky,80.6,5.5836,-0.1072,Adinkra Lodge
312,Sainte-Suzanne,RE,broken clouds,80.6,-20.9061,55.6089,Gites Ango
317,Vila Velha,BR,clear sky,75.0,-20.3297,-40.2925,Quality Suites Vila Velha
318,Padang,ID,few clouds,87.8,-0.9492,100.3543,Mercure Padang
321,Apac,UG,overcast clouds,75.25,1.9756,32.5386,Double Duez Apac
326,Taoudenni,ML,few clouds,81.3,22.6783,-3.9836,
327,Nkpor,NG,overcast clouds,80.15,6.1516,6.8446,First choice Hotel
332,Ormara,PK,clear sky,85.66,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
338,Pitimbu,BR,few clouds,75.2,-7.4706,-34.8086,Reserva do Abiaí
339,Katobu,ID,overcast clouds,82.92,-4.9408,122.5276,La Ode Husein
341,Demerval Lobao,BR,broken clouds,75.2,-5.3583,-42.6764,Pousada Da Paz
346,Ambilobe,MG,overcast clouds,82.76,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
347,Acarau,BR,overcast clouds,75.7,-2.8856,-40.12,castelo pizzaria
348,Adre,TD,clear sky,88.83,13.4667,22.2,
350,Sorong,ID,few clouds,84.85,-0.8833,131.25,waigo splash hotel
357,Townsville,AU,light rain,80.6,-19.25,146.8,Rydges Southbank Townsville
358,Tautira,PF,broken clouds,78.8,-17.7333,-149.15,Pension Oaoa
365,Charters Towers,AU,overcast clouds,77.18,-20.1,146.2667,Cattleman's Rest Motor Inn
371,Hirado,JP,clear sky,78.8,33.3597,129.5531,Samson Hotel
387,Samarai,PG,overcast clouds,84.07,-10.6167,150.6667,Nuli Sapi
388,Saint-Pierre,RE,light rain,78.8,-21.3393,55.4781,Lindsey Hôtel
397,Sindou,BF,overcast clouds,79.11,10.6667,-5.1667,LERABA HOTEL
398,Marawi,PH,overcast clouds,82.99,7.9986,124.2928,Derogongan Residence
405,Hami,CN,overcast clouds,79.45,42.8,93.45,Laoyutang Resort
407,Port Moresby,PG,light rain,86.0,-9.4431,147.1797,Lamana Hotel
409,Isangel,VU,scattered clouds,82.4,-19.55,169.2667,Tanna Lodge
417,Luwuk,ID,broken clouds,83.3,-0.9516,122.7875,Hotel Santika Luwuk
420,Mazagao,BR,clear sky,75.2,-0.115,-51.2894,Recanto dos Ferreiras
421,Cockburn Town,TC,few clouds,77.83,21.4612,-71.1419,Osprey Beach Hotel
427,Muli,MV,scattered clouds,82.47,2.9167,73.5667,Medhufushi Island Resort
430,Ternate,ID,overcast clouds,84.72,0.8,127.4,Grand Dafam Bela Ternate
433,Byron Bay,AU,clear sky,80.6,-28.65,153.6167,Backpackers Inn on the Beach
437,Alice Springs,AU,clear sky,80.6,-23.7,133.8833,Desert Palms Alice Springs
438,Mogadishu,SO,scattered clouds,87.8,2.0371,45.3438,Hotel Juba
