City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country,Date
59,Tura,25.5198,90.2201,94.68,clear sky,32,6,6.02,IN,2021-04-21 06:38:08
60,Port Lincoln,-34.7333,135.8667,59.94,overcast clouds,58,100,13.11,AU,2021-04-21 06:38:08
61,Avarua,-21.2078,-159.775,75.2,light rain,88,75,8.05,CK,2021-04-21 06:38:09
62,Lisakovsk,52.5369,62.4936,50.16,clear sky,34,0,7.43,KZ,2021-04-21 06:38:09
63,Mar Del Plata,-38.0023,-57.5575,68.0,clear sky,82,0,10.36,AR,2021-04-21 06:38:09
64,La Ronge,55.1001,-105.2842,37.4,overcast clouds,44,95,4.61,CA,2021-04-21 06:38:10
65,Acapulco,16.8634,-99.8901,75.96,clear sky,61,5,4.32,MX,2021-04-21 06:33:19
66,Saskylakh,71.9167,114.0833,10.04,overcast clouds,83,94,4.92,RU,2021-04-21 06:38:10
67,Olhao,37.0286,-7.8411,55.4,clear sky,88,0,2.3,PT,2021-04-21 06:38:11
68,East London,-33.0153,27.9116,66.2,clear sky,82,0,2.3,ZA,2021-04-21 06:38:11
69,Fort Morgan,40.2503,-103.8,30.2,overcast clouds,59,90,9.22,US,2021-04-21 06:38:11
70,Chitipa,-9.7024,33.2697,65.91,light rain,85,99,5.97,MW,2021-04-21 06:38:12
71,Tasiilaq,65.6145,-37.6368,21.2,broken clouds,68,75,1.14,GL,2021-04-21 06:38:12
72,Cape Town,-33.9258,18.4232,55.4,clear sky,94,0,1.14,ZA,2021-04-21 06:38:13
73,Atambua,-9.1061,124.8925,78.48,broken clouds,74,84,3.36,ID,2021-04-21 06:38:13
74,Yellowknife,62.456,-114.3525,35.6,clear sky,69,1,10.36,CA,2021-04-21 06:38:14
75,Narsaq,60.9167,-46.05,46.4,broken clouds,31,75,20.71,GL,2021-04-21 06:38:14
76,Saint-Augustin,51.226,-58.6502,35.64,overcast clouds,82,100,1.52,CA,2021-04-21 06:38:14
77,Berlevag,70.8578,29.0864,42.8,clear sky,56,0,25.32,NO,2021-04-21 06:38:15
78,Lahad Datu,5.0268,118.327,85.28,overcast clouds,67,96,7.16,MY,2021-04-21 06:38:15
79,General Jose Eduvigis Diaz,-27.1667,-58.4167,69.8,clear sky,88,0,9.22,PY,2021-04-21 06:38:16
80,Takhtamygda,54.1,123.5667,51.15,overcast clouds,52,91,5.41,RU,2021-04-21 06:38:16
81,Volkhov,59.9258,32.3382,42.01,moderate rain,30,100,6.31,RU,2021-04-21 06:38:16
82,Norman Wells,65.282,-126.8329,23.0,light snow,86,90,20.71,CA,2021-04-21 06:38:17
83,Longyearbyen,78.2186,15.6401,21.2,scattered clouds,68,40,6.91,SJ,2021-04-21 06:38:17
84,Rikitea,-23.1203,-134.9692,76.57,light rain,76,22,4.94,PF,2021-04-21 06:37:53
85,Bethel,41.3712,-73.414,48.99,clear sky,76,1,3.44,US,2021-04-21 06:38:18
86,College,64.8569,-147.8028,39.2,scattered clouds,35,40,6.91,US,2021-04-21 06:38:18
87,Chokurdakh,70.6333,147.9167,25.88,overcast clouds,93,100,6.46,RU,2021-04-21 06:38:19
88,Jalu,29.0331,21.5482,66.45,clear sky,37,6,12.21,LY,2021-04-21 06:38:19
89,Castro,-24.7911,-50.0119,53.24,overcast clouds,95,96,6.69,BR,2021-04-21 06:38:19
90,Beringovskiy,63.05,179.3167,20.46,scattered clouds,91,49,0.98,RU,2021-04-21 06:38:20
91,Paamiut,61.994,-49.6678,25.48,clear sky,64,0,7.7,GL,2021-04-21 06:38:20
92,Kavieng,-2.5744,150.7967,83.43,overcast clouds,73,99,10.51,PG,2021-04-21 06:38:20
93,Iracoubo,5.4802,-53.2011,76.06,moderate rain,85,100,6.82,GF,2021-04-21 06:38:21
94,Torbay,47.6666,-52.7314,35.01,light rain,100,90,17.27,CA,2021-04-21 06:38:21
95,Vradiyivka,47.862,30.5919,52.88,scattered clouds,59,26,8.37,UA,2021-04-21 06:38:22
96,Atuona,-9.8,-139.0333,80.71,light rain,75,47,21.99,PF,2021-04-21 06:38:22
97,Tsagan Aman,47.5639,46.7218,57.85,light rain,69,100,7.34,RU,2021-04-21 06:38:22
98,Camana,-16.6228,-72.7111,67.77,clear sky,89,2,6.53,PE,2021-04-21 06:38:23
99,Manacapuru,-3.2997,-60.6206,73.4,broken clouds,100,75,2.3,BR,2021-04-21 06:38:23
100,Amahai,-3.3333,128.9167,82.27,light rain,80,95,5.79,ID,2021-04-21 06:38:23
101,Morondava,-20.2833,44.2833,81.93,overcast clouds,63,100,7.54,MG,2021-04-21 06:38:24
102,Severo-Kurilsk,50.6789,156.125,34.66,overcast clouds,95,100,21.88,RU,2021-04-21 06:38:24
103,La Seyne-Sur-Mer,43.0982,5.8847,55.99,overcast clouds,82,100,5.99,FR,2021-04-21 06:38:25
104,Najran,17.4924,44.1277,82.4,clear sky,14,0,6.91,SA,2021-04-21 06:38:25
105,Kieta,-6.2167,155.6333,82.72,light rain,76,89,1.43,PG,2021-04-21 06:38:25
106,Gambela,8.25,34.5833,92.41,broken clouds,35,66,5.88,ET,2021-04-21 06:38:26
107,Sherlovaya Gora,50.5667,116.25,73.11,clear sky,9,0,8.81,RU,2021-04-21 06:38:27
108,Georgetown,5.4112,100.3354,89.6,few clouds,74,20,5.75,MY,2021-04-21 06:38:27
109,Salalah,17.0151,54.0924,86.0,clear sky,62,0,4.61,OM,2021-04-21 06:33:56
110,Korla,41.7597,86.1469,75.83,overcast clouds,17,100,17.31,CN,2021-04-21 06:38:28
111,Novikovo,51.1537,37.8879,44.51,overcast clouds,81,100,9.78,RU,2021-04-21 06:38:28
112,Chuy,-33.6971,-53.4616,66.52,clear sky,72,0,11.86,UY,2021-04-21 06:38:29
113,Nanortalik,60.1432,-45.2371,35.82,overcast clouds,76,100,4.36,GL,2021-04-21 06:38:29
114,Puerto Escondido,15.85,-97.0667,78.57,overcast clouds,64,100,4.81,MX,2021-04-21 06:38:29
115,Anyang,36.0994,114.3289,51.51,overcast clouds,87,100,7.2,CN,2021-04-21 06:38:30
